#{"t_start": 1650870925.8208907, "env_id": null}
r,l,t
-93104898.192067,19968,278.214527
-17100620.864681,10251,525.769631
-182474350.091966,24529,917.660935
36042621.522312,12611,1276.723671
-32201949.161941,7805,1410.446624
-69999445.867235,13766,1617.004197
-81960805.573363,17794,1902.982679
-85448001.405436,11945,2051.662742
-33616802.526805,4573,2134.888782
-19814621.708656,4251,2227.549663
-32628453.379885,5824,2326.839863
-5437852.325062,3630,2423.730614
-138361922.121807,18006,2725.7576
-240624529.828263,29231,3374.715132
-76971299.741156,17600,3751.884637
-822499.194247,2491,3764.221025
-112145199.350883,22104,4151.641079
-115560021.470086,16663,4439.459518
-86834401.635942,12040,4674.062362
-140602581.856572,20395,5029.914504
19006142.275635,9324,5159.598704
-161342131.380391,22205,5570.775351
-85643635.076008,11614,5776.30958
-16165724.677143,4307,5855.064712
-125546054.239417,18269,6230.820768
-102062688.406247,27990,6673.998541
-2975511.116838,7640,6781.560024
-23088480.09105,12170,7003.568693
-18935589.148656,4413,7078.240269
-221861920.691308,26284,7579.326933
-68767046.407134,17750,7905.501692
-10327453.408218,3155,7980.759456
-126207.78157,599,7983.758723
-116602919.221067,25957,8491.237922
-37764917.277994,5722,8578.488349
-227212742.928489,27399,9135.203577
-128966538.611203,22125,9517.58235
-148626087.612831,19843,9849.22325
26962780.310847,11027,10046.028007
6649.62338,935,10050.789127
-54425333.581644,10462,10266.135464
-42220481.463539,6109,10433.662193
-148937251.905913,16483,10722.525128
-38091167.605186,6120,10822.114591
-224370738.607246,26375,11255.943465
-30106089.281115,6516,11400.557719
-209236069.979354,23628,11771.056682
-49805021.267543,9681,11967.904154
-105112468.877147,15946,12314.532373
63666991.519176,18911,12588.198487
0.0,26032,13044.217528
0.0,20891,13330.474647
0.0,12184,13508.249492
0.0,837,13512.402261
0.0,14283,13759.978922
0.0,24280,14175.618745
0.0,23183,14635.032991
0.0,5412,14713.785286
0.0,24735,15169.412816
0.0,25416,15623.005643
0.0,5541,15727.167863
0.0,10684,15899.873729
0.0,24832,16336.711101
0.0,1162,16343.41926
0.0,21939,16798.522758
0.0,16023,17026.807491
0.0,18801,17371.673798
0.0,4437,17463.006602
0.0,13272,17623.998634
