#{"t_start": 1651680916.4897656, "env_id": null}
r,l,t
-6242.358895,19968,146.082124
4002.314472,10244,188.868568
-2181.736549,18336,265.502894
13163.427317,14281,536.4616
1870.873727,15097,600.005708
10400.857871,11986,654.537794
-371.246125,9418,691.900182
-866.202949,3143,809.829141
0,21580,906.831151
0,8200,939.368712
0,6047,963.106733
0.0,6128,987.615448
0,28847,1271.697764
0,5660,1293.276065
0,604,1295.336969
0,19152,1376.968657
0,13577,1472.728134
0,3803,1487.714473
0,362,1489.137299
0,4629,1506.472701
0.0,17350,1578.651951
0,18176,1789.238941
0,8558,1822.498357
0,3986,1837.683023
0,13992,1894.718949
0,13261,1949.189588
0,25757,2197.618862
0,11090,2242.877217
0,2077,2250.980168
-122.720436,2233,2259.233412
19579.865546,28947,2492.15061
0,5977,2516.212032
0,7875,2547.400207
0,3993,2563.042101
0,2454,2572.072785
0,19793,2756.420493
0,17430,2831.897235
0,24869,2946.612161
1366.413535,20358,3194.271011
0,2824,3205.215261
16652.08808,17479,3283.233006
-1415.980707,25954,3551.217156
0,6153,3575.414106
0,3808,3590.15737
-3206.457592,24262,3699.109141
-6225.534513,21843,3852.878012
0,5428,3874.220026
0,10066,3915.493837
0,3935,3931.384325
0,4292,3949.320159
0,8100,4011.454729
0,16043,4080.280343
0,26184,4201.813804
0,11968,4415.526592
0,4594,4434.320633
0,2512,4443.709406
0,19758,4530.096646
0,10764,4573.55651
8963.386273,25806,4737.005053
0,22757,4838.040606
0,27247,5117.100219
0,25183,5228.417196
0,1130,5233.242919
0,23551,5461.4328
0,19299,5548.794538
0,21220,5767.317917
0,19106,5855.530838
0,6939,5884.349073
0,28733,6157.741569
0,14488,6221.017749
0,10835,6268.538711
0,18087,6529.259872
0,22086,6625.046297
