#{"t_start": 1651764088.7834308, "env_id": null}
r,l,t
39356.5,19968,277.267205
10246.0,10251,522.707754
24529,24529,915.218002
12806,12611,1220.079688
1279,1279,1226.486394
25553,13545,1460.225355
3619,3619,1549.88038
1164,1164,1555.432207
6486,6486,1612.466497
18386,18386,1968.19842
1100,1100,1973.498965
4108,4108,2029.517075
23704,23214,2447.535201
168,168,2448.855793
21395,21395,2808.733432
19093,19093,3172.294984
6773,6773,3259.851777
10156,10156,3436.180216
18108,18108,3783.482996
28737,28737,4281.964792
28119,28119,4821.999059
13523,13523,5065.296291
5928,5928,5166.579848
10166,10166,5294.9071
9010,9010,5435.546279
21890.5,21893,5860.82287
5329,5329,5955.167893
1929,1929,6027.902329
13754,13754,6200.019449
13586,13586,6402.04906
17295,17295,6673.193656
4501,4501,6696.59297
11300,11300,6958.755634
7019,7019,7070.805333
14522,14522,7329.811122
7730,7730,7476.085229
17413,17413,7737.49331
19862,19862,8127.701898
13426,13426,8390.512825
21309,21309,8786.582104
6646,6646,8866.470392
1448,1448,8906.433402
549,549,8909.083378
16832,16832,9222.2318
540,540,9225.074322
2228,2228,9297.754108
19920,19920,9691.46633
28003,28003,10207.928186
11445,11445,10369.901106
28566,28566,10894.703266
10749,10749,11047.751378
11706,11706,11226.85498
1051,1051,11232.151122
19010,19010,11578.300984
26054,26054,12041.599141
18751,18751,12399.79753
29171,29171,12897.600825
2993,2993,12965.482192
2204,2204,13057.914648
13629,13629,13224.651425
11876,11876,13454.495389
15575,15575,13755.38109
5359,5359,13838.044365
12288,12288,13997.800009
8981,8981,14190.427667
21317,21317,14583.904874
18908,18908,14969.846578
21048,21048,15346.410485
28125,28125,15897.001946
25686,25686,16412.678364
124,124,16413.849079
27541,27541,17012.657418
22384,22384,17440.102931
8547,8547,17594.177528
