#{"t_start": 1651854969.2352118, "env_id": null}
r,l,t
-38.415287,19968,273.441613
-2.080065,10251,515.161322
-1.823338,24529,902.074436
-1.530855,12611,1205.619256
0.265135,1279,1212.218617
-0.046531,13545,1441.888047
0.897614,3619,1531.968674
-0.415222,1164,1537.362366
-0.634767,6486,1592.252088
-1.119748,18386,1945.363163
-0.236553,1100,1951.192038
-1.617904,4108,2008.557145
1.203393,23214,2427.145683
0.017782,168,2428.628189
-0.889765,21395,2777.430402
-0.428812,19093,3127.282622
-0.274626,6773,3208.081986
0.387206,10156,3373.837432
-0.829428,18108,3707.953589
-0.530034,28737,4194.189866
0.026445,28119,4716.009175
-0.22779,13523,4950.586047
0.65802,5928,5049.537092
-3.198258,10166,5175.585535
-1.427561,9010,5314.725408
-0.96462,21893,5731.130225
-0.084977,5329,5822.437106
-0.01775,1929,5894.137879
-0.857516,13754,6062.605378
-0.656014,13586,6256.077555
1.834656,17295,6515.459224
-0.613941,4501,6537.03397
-1.0181,11300,6792.13962
-0.927269,7019,6901.865714
-1.751479,14522,7152.527797
-1.093165,7730,7293.010346
-0.848092,17413,7538.841608
-0.875711,19862,7910.101135
-0.776133,13426,8165.879817
-1.51744,21309,8546.061237
-0.649132,6646,8622.473718
0.235622,1448,8660.967038
0.002621,549,8663.238505
-0.095737,16832,8963.192522
0.124857,540,8965.922302
-0.174985,2228,9036.955623
-0.601761,19920,9416.771928
0.287333,28003,9904.520399
0.313839,11445,10056.936306
0.717262,28566,10552.009825
-0.096558,10749,10696.180204
-0.36168,11706,10866.451685
-0.260824,1051,10871.529489
-2.795332,19010,11203.175504
0.871176,26054,11650.167588
1.067714,18751,11986.503508
-2.281696,29171,12469.405348
-0.297188,2993,12537.503318
-0.101444,2204,12631.69856
-1.100137,13629,12800.613265
-0.705783,11876,13036.49572
0.376277,15575,13338.873805
0.661627,5359,13422.694048
-0.846773,12288,13585.147152
-0.761061,8981,13785.498592
-1.895781,21317,14179.984977
-0.953441,18908,14573.341721
-1.144868,21048,14955.432533
-2.672136,28125,15510.157017
-0.768343,25686,16022.682748
-0.118242,124,16024.083658
2.483428,27541,16628.407582
-1.511039,22384,17035.975249
0.455028,8547,17183.562779
