#{"t_start": 1652805505.6516693, "env_id": null}
r,l,t
-4380.459266,19968,87.370406
-179.492931,3549,100.041041
-164.351407,5001,117.993037
-317.023076,10994,161.484765
-174.452908,20729,288.631829
-13.580961,17398,359.601504
-2.876283,16917,431.977771
-33.679894,21427,546.538869
-27.841586,10668,587.600387
-28.789939,8923,623.942327
-16.784872,4369,640.502432
-16.445538,18981,770.216874
-1.062289,22799,869.07332
-2.430938,3533,882.695203
-431.746186,27474,1055.567424
-79.780304,18499,1133.937283
-2.645343,3205,1146.833017
-10.148516,17801,1278.377802
-2.299628,4475,1294.359433
-83.628347,28234,1421.764305
-29.225761,22182,1562.112279
-2.957357,15399,1626.177717
-1.122131,13975,1682.749044
0.474417,7069,1707.4944
-0.431161,12575,1797.752788
-0.876575,2080,1805.597625
-0.39724,21842,1900.324037
0.014006,9433,1938.024063
0.104111,12268,2027.220289
-0.434482,16792,2094.322525
-0.726296,8067,2125.261237
-42.479152,14799,2183.727746
-12.097936,26503,2348.42725
1.858397,21968,2438.597571
0.233519,279,2439.650629
-0.349023,8876,2471.486103
