#{"t_start": 1653131500.2648587, "env_id": null}
r,l,t
-4318.512562,19968,90.108253
-195.450532,3549,104.962683
-243.634516,5001,122.540841
-284.1744,10994,167.723654
-205.850876,20729,293.751048
-30.910579,17398,366.94742
-36.393449,16917,439.478297
-30.237753,21427,556.663362
-4.873169,10668,601.589999
-9.561994,8923,639.605037
-13.151057,4369,656.259387
-10.791811,18981,788.517401
-25.787427,22799,891.533534
-3.355269,3533,905.681866
-51.953987,27474,1080.373812
-111.856634,18499,1160.469245
-4.836191,3205,1174.558555
-6.248201,17801,1309.734468
-7.679156,4475,1326.793173
-6.105381,28234,1462.235607
-7.414396,22182,1612.625914
-2.844406,15399,1682.617854
-2.121448,13975,1741.853798
-1.728681,7069,1769.145644
-56.228398,12575,1864.331202
0.85265,2080,1872.359275
-10.71612,21842,1974.217352
0.54972,9433,2013.495941
-3.142608,12268,2107.947423
-2.484719,16792,2182.238981
-0.304072,8067,2215.752004
-0.268797,14799,2277.26798
0.232422,26503,2449.340687
-323.954055,21968,2551.18745
0.233519,279,2552.247119
-23.235363,8876,2586.50992
