#{"t_start": 1651937125.484121, "env_id": null}
r,l,t
-2376.141062,19968,90.013546
-91.649843,26578,250.299463
-3.194297,27138,469.493233
-23.622184,17398,538.885472
-0.266498,792,541.576269
-1.425019,20015,688.989286
-9.978441,21987,796.847816
0.072004,20561,945.711565
-4.319951,16883,1012.492903
-0.215378,5008,1033.75203
-1.405913,14316,1096.157079
-13.013259,27347,1291.540526
1.965511,16374,1366.232702
-0.357448,3759,1382.672722
0.034934,24911,1559.893123
0.744151,24549,1686.47746
-0.094708,2507,1695.837416
-2.198482,25974,1882.658072
-0.63521,7002,1911.737239
-5.37332,22707,2008.625008
-0.630312,3166,2024.158447
-3.657442,24738,2217.600861
-0.32838,3697,2232.189825
0.535445,6962,2256.025052
0.088938,254,2257.171984
0.363863,1125,2261.25506
0.568782,17560,2399.212966
-0.201317,22393,2504.348969
-1.601307,22454,2605.179347
0.86508,15749,2725.573255
-0.171709,13334,2774.411313
-0.071048,56,2774.95087
-1.459251,22536,2881.97655
